,MSFT_pred,GOOGL,IBM,DEXJPUS,DEXUSUK,SP500,DJIA,VIXCLS,MSFT_DT,MSFT_3DT,MSFT_6DT,MSFT_12DT,RSI,MACD,BB_Width,ATR,ROC,Gold_Return,Oil_Return,Treasury_Change,BTC_Return,Rolling_Beta
2017-11-16,0.007648599418881741,-0.005630500352080681,-0.007881943089977916,-0.004507498020196898,0.004861384431669669,0.0003945643016916023,-0.00015259919510057784,0.11332868530700324,0.0007155239903600119,0.05594896907246971,0.062252752142595735,0.1064664211695634,68.88382415964375,1.589577060279126,10.871255454138614,7.566097613549533,-0.5141640167107779,-0.006398735193102745,-0.036153858721110765,0.040000000000000036,0.2136218084452448,1.733728806139121
2017-11-24,-0.030219481861188058,0.0007209395481764247,0.018075787148077893,-0.003937012959339903,0.00858503653710635,0.009098218231718747,0.008515228396364094,-0.16721316834151656,0.007648599418881741,0.012908170548701303,0.049346414648814285,0.11300165598873546,62.73992880770469,1.1159345364430067,2.2567774298699033,7.462571356600681,-0.4897528609244371,0.007253982002810133,0.06681424539899972,-0.010000000000000231,0.026667975269921484,2.1210194782810454
2017-12-01,0.023438526903043044,0.011938844410460447,0.01904802386509541,0.003043597372351492,0.012592841796086163,0.015177691522047176,0.028192112754041432,0.16721316834151656,-0.030219481861188058,-0.021855358451946305,0.02292279311080936,0.07617024579248888,62.21109786952408,1.0043488818807162,2.7567264273745864,7.525008769579402,1.2740258260767028,-0.00615858687415205,-0.010058905812551089,0.03000000000000025,0.16238064976638888,1.8609946540382014
2017-12-08,0.021326511404971882,-0.0011877475623309763,0.0003231987944793957,0.014816400217807946,-0.010271004255242966,0.003506044711878431,0.004018477115693031,-0.17656388582395044,0.023438526903043044,0.0008676444607367273,0.05681661353320644,0.10993666529302182,58.07032013801418,0.4975786190769611,4.272045658019845,7.6435882473906815,1.0809097560583483,-0.026626056014080746,-0.017283527180891767,0.009999999999999787,0.38070390875159,1.8143539441596912
2017-12-15,-0.0029334575085124825,0.031462688950439244,-0.015034011454825524,-0.007691325543395244,-0.0038226632765575586,0.00912662065544012,0.013171855310776692,-0.01684250339449722,0.021326511404971882,0.014545556446826868,0.02745372699552817,0.1234015693542001,65.57402860581834,0.9292090207295729,6.662650170963507,7.788115356192695,3.0737887504488413,0.007281566604839362,-0.0010465965262129728,-0.029999999999999805,0.1359959340694843,1.9870004023244676
2017-12-22,0.004061645025617899,-0.015548834056631655,0.0,0.005487225025788689,0.004719993778703913,0.0028101489808376456,0.004142029732822294,0.04969966855227259,-0.0029334575085124825,0.041831580799502444,0.01997622234755614,0.10241669316719859,57.972954233483385,0.8853145776881917,7.15428172976232,7.678605587831478,1.6041154662811716,0.01668218706423641,0.02021321265913656,0.1299999999999999,-0.32485194831952846,1.8546768429953069
2018-01-02,0.036216048562681014,0.0051322766892845095,0.011410137490523553,-0.009051441688892048,0.01683703783288404,0.0056953715036938135,0.003138984006190171,-0.04796123952972575,0.004061645025617899,0.0224546989220773,0.023322343382814026,0.08557509552540976,59.837465482372295,0.723945284232471,7.320287460591807,7.608407573026997,-1.0362492918302628,0.02958767228361303,0.03197845205051397,-0.010000000000000231,0.025389493987725942,1.7848454920896384
2018-01-09,0.023368129184992092,0.02606750783264644,0.060254956933632364,0.003470526286522002,-0.005753501155707219,0.02037117680967615,0.02237863259483852,0.031236796588530957,0.036216048562681014,0.03734423607978643,0.0518897925266133,0.10123620717542758,70.3233303771935,1.0403447577237017,4.770925844988995,7.72113058696587,3.1691599311448297,-0.0015235777110342852,0.04200731445221528,0.08999999999999986,-0.06651320606971112,1.784546260850129
2018-01-17,0.02786721730088626,0.021530670350810688,0.0289956777868543,-0.006028179665513278,0.022754027005750854,0.019576217098804527,0.029001670936759538,0.19295726100083455,0.023368129184992092,0.063645822773291,0.10547740357279345,0.1284001966836028,69.8713626252013,1.227438257584481,6.723948247720242,7.923730970296579,4.874916035449291,0.019851993092144582,0.01591465297674244,0.020000000000000018,-0.2227752585220646,1.5622396278981288
2018-01-24,0.009288299186059668,0.018466470515694056,-0.019639636813900907,-0.0150939399522807,0.026694897555494257,0.01240419443361862,0.005211996192800328,-0.037643452225929686,0.02786721730088626,0.08745139504855937,0.10990609397063666,0.1667227075038431,74.19625495776864,1.596562988016501,9.499861263401497,8.098854345618022,4.080779837969479,0.01328949678588831,0.02531389011503027,0.08000000000000007,-0.021597230023839842,1.592054792819502
